idUporabnik;ocena;max_ocena;normirano
17;4.27378640592;4.78163270804;0.893792281188
17theone;4.34759355356;4.78163270804;0.909227834721
19miha90;4.3024390101;4.78163270804;0.899784503077
4-3-2-1;4.20476193655;4.78163270804;0.879356946317
420;4.23433475945;4.78163270804;0.885541616848
88dejo88;4.18155340315;4.78163270804;0.874503262477
99-or-1;3.88394495435;4.78163270804;0.812263340055
a-dee-jay;4.26333334446;4.78163270804;0.891606194949
a-orhidejca;4.36304348254;4.78163270804;0.912458933787
a123b;4.05137615029;4.78163270804;0.84727882664
abeta;4.34512196808;4.78163270804;0.908710943183
abndbn;4.09090909091;4.78163270804;0.855546492317
aboveu;4.23146417431;4.78163270804;0.884941281081
accko;4.23953488076;4.78163270804;0.88662913687
acinho;4.25384611517;4.78163270804;0.889622096657
adijo-svet;4.12928474706;4.78163270804;0.863572130941
agent-perry;4.45812766248;4.78163270804;0.932344229406
aki10;4.3810606066;4.78163270804;0.916226919569
alanhansen;4.08390803584;4.78163270804;0.854082336557
albus;4.44059409481;4.78163270804;0.928677371506
alcarin;4.34137928349;4.78163270804;0.90792822213
alek;4.27706421406;4.78163270804;0.894477780961
alen64;4.31977399594;4.78163270804;0.903409830846
ales24;4.23629628817;4.78163270804;0.885951838385
alexiush;4.34235034681;4.78163270804;0.908131304085
alfi2;4.41940299433;4.78163270804;0.92424560065
alikasmu-anje;4.45000001362;4.78163270804;0.930644465046
alisha-8mg3;4.32692308953;4.78163270804;0.904904946433
alkum;4.00769228488;4.78163270804;0.838143063172
alojzr;4.03400001526;4.78163270804;0.843644893192
am-shagar;4.40238096175;4.78163270804;0.920685721918
an-e-ciuf;4.17816092776;4.78163270804;0.87379378193
anakin-skywalker;4.19295776058;4.78163270804;0.876888296654
andrejm-yj8h;4.30410961909;4.78163270804;0.900133883527
andz;4.22222220368;4.78163270804;0.883008474612
angelmanuel;4.41518987583;4.78163270804;0.923364496066
ankorn;4.38341969715;4.78163270804;0.916720284638
anny22;4.39660195702;4.78163270804;0.91947713793
anze82;4.08324872661;4.78163270804;0.853944452853
anzi23;4.3037735876;4.78163270804;0.900063608057
arawn;3.89428571974;4.78163270804;0.814425941414
aresnica;4.56000002861;4.78163270804;0.953649162752
arking;4.15490194395;4.78163270804;0.868929547216
arli23;4.08162327127;4.78163270804;0.853604515547
arnolfus;4.28441557017;4.78163270804;0.896015196434
arsenal_fan1;4.20514342422;4.78163270804;0.879436728202
arso;4.50775862151;4.78163270804;0.942723729895
arto77;4.20000003707;4.78163270804;0.878361073197
arts7yle;4.36028708225;4.78163270804;0.911882477907
aschkao;4.52878788385;4.78163270804;0.94712165496
ashme;4.20206895614;4.78163270804;0.878793753664
aski;4.43934427356;4.78163270804;0.928415991905
assange;4.22706422401;4.78163270804;0.884021103692
as_kgarnett;4.40104529999;4.78163270804;0.920406390183
ata;4.0295775071;4.78163270804;0.842719998197
atacar;4.55647061292;4.78163270804;0.952911043389
atm;4.14186047584;4.78163270804;0.86620213821
